"duration","n_bids","cond","total_pr","seller_rate","stock_photo","wheels"
3,20,"new",51.55,1580,"yes",1
7,13,"used",37.04,365,"yes",1
3,16,"new",45.5,998,"no",1
3,18,"new",44,7,"yes",1
1,20,"new",71,820,"yes",2
3,19,"new",45,270144,"yes",0
1,13,"used",37.02,7284,"yes",0
1,15,"new",53.99,4858,"yes",2
3,29,"used",47,27,"yes",1
7,8,"used",50,201,"no",1
1,15,"new",54.99,4858,"yes",2
1,15,"new",56.01,820,"yes",2
1,13,"new",48,4858,"yes",2
1,16,"new",56,820,"yes",2
7,6,"used",43.33,154,"yes",1
7,22,"used",46,309,"yes",0
3,14,"new",46.71,251,"yes",1
3,23,"new",46,7,"yes",1
1,10,"new",55.99,4858,"yes",2
1,7,"used",31,4982,"yes",0
1,16,"new",53.98,4858,"yes",2
1,1,"new",64.95,118345,"yes",2
1,18,"new",50.5,4858,"yes",2
3,12,"used",46.5,172,"yes",1
1,19,"new",55,820,"yes",2
3,5,"used",34.5,37,"yes",0
3,5,"used",36,15,"yes",0
1,13,"used",40,4200,"no",0
7,15,"new",47,62,"yes",1
1,11,"used",43,18,"yes",0
7,14,"used",31,166,"yes",0
5,13,"used",41.99,16041,"yes",1
5,24,"used",49.49,27,"yes",2
3,10,"used",41,42241,"yes",1
3,15,"used",44.78,88,"yes",1
3,16,"used",47,1270,"no",0
7,17,"used",44,2131,"no",1
1,9,"new",63.99,4858,"yes",2
1,14,"new",53.76,4858,"yes",2
7,5,"new",46.03,555,"no",1
3,13,"used",42.25,42241,"no",1
1,14,"used",46,34,"no",2
1,29,"new",51.99,4858,"yes",2
1,17,"new",55.99,4858,"yes",2
3,8,"used",41.99,69,"yes",1
1,12,"new",53.99,4858,"yes",2
7,20,"used",39,422,"yes",0
7,21,"used",38.06,8625,"yes",0
7,16,"used",46,90,"no",1
1,10,"new",59.88,4858,"yes",2
1,17,"used",28.98,4982,"yes",0
3,16,"used",36,2046,"no",1
3,2,"new",51.99,223861,"yes",0
7,16,"used",43.95,943,"yes",0
1,14,"used",32,206,"yes",0
7,10,"used",40.06,4473,"no",1
5,7,"used",48,239,"no",1
7,16,"used",36,355,"no",0
10,3,"used",31,19,"no",0
1,23,"new",53.99,4858,"yes",2
1,12,"used",30,7284,"yes",0
1,9,"new",58,4858,"yes",2
5,18,"used",38.1,861,"no",0
7,12,"used",61.76,27,"yes",2
1,13,"new",53.99,4858,"yes",2
7,14,"used",40,88,"yes",1
7,12,"used",64.5,991,"no",3
7,16,"used",49.01,285,"no",2
3,9,"new",47,627,"yes",1
3,17,"used",40.1,2046,"no",1
7,16,"new",41.5,998,"no",1
1,20,"new",56,820,"yes",2
1,1,"new",64.95,118345,"yes",2
1,13,"used",49,350,"no",2
3,4,"used",48,85,"yes",1
5,21,"used",38,14504,"no",0
3,14,"used",45,270144,"yes",0
5,18,"used",41.95,194,"yes",0
10,15,"used",43.36,2399,"yes",1
1,8,"new",54.99,4858,"yes",2
3,19,"used",45.21,64,"yes",1
7,2,"used",65.02,25,"no",4
7,14,"used",45.75,0,"yes",1
3,14,"new",64,127,"yes",2
7,7,"used",36,0,"yes",0
7,7,"new",54.7,208,"yes",1
5,5,"new",49.91,127,"yes",1
3,16,"used",47,231,"yes",0
7,13,"used",43,21,"no",1
5,10,"used",35.99,19,"yes",0
1,11,"used",54.49,69,"yes",2
7,15,"used",46,15,"yes",1
1,16,"used",31.06,7284,"yes",0
3,15,"used",55.6,54,"yes",2
3,23,"new",40.1,270144,"yes",0
1,20,"new",52.59,4858,"yes",2
7,9,"used",44,103,"no",2
5,14,"used",38.26,35,"no",1
5,11,"used",51,36,"no",2
1,13,"new",48.99,4858,"yes",2
1,1,"new",66.44,118345,"yes",2
1,22,"new",63.5,820,"yes",2
5,7,"used",42,14503,"no",0
7,18,"new",47,389,"yes",1
5,17,"used",55,261,"no",2
7,9,"used",33.01,381,"yes",1
1,16,"new",53.76,4858,"yes",2
5,20,"new",46,8224,"yes",1
3,16,"used",43,270143,"yes",0
3,5,"used",42.55,10,"yes",1
7,5,"used",52.5,116,"yes",2
1,25,"new",57.5,4858,"yes",2
1,3,"new",75,118345,"yes",3
7,7,"used",48.92,11,"yes",1
7,18,"new",45.99,1154,"yes",1
7,10,"used",40.05,877,"yes",1
1,13,"new",45,556,"yes",1
3,8,"used",50,63,"yes",2
7,16,"new",49.75,94,"yes",0
7,3,"used",47,508,"no",1
1,17,"new",56,4858,"yes",2
1,11,"used",41,30,"no",1
3,9,"new",46,1144,"no",1
7,10,"used",34.99,462,"yes",1
1,23,"used",49,280,"yes",2
1,19,"new",61,820,"yes",2
1,14,"new",62.89,820,"yes",2
3,11,"new",46,299,"yes",1
1,1,"new",64.95,118345,"yes",2
7,14,"used",36.99,2290,"no",0
7,14,"used",44,37,"yes",1
5,17,"used",41.35,14503,"yes",1
7,11,"used",37,297,"no",0
1,18,"new",58.98,4858,"yes",2
5,20,"used",39,14503,"yes",0
7,6,"used",40.7,3085,"no",1
1,20,"used",39.51,7284,"yes",0
7,9,"used",52,121,"no",2
3,14,"new",47.7,251,"yes",1
7,13,"used",38.76,41,"no",0
1,13,"new",54.51,4858,"yes",2
