ROI,Con,Inc
Executive,0.003895242,0.63617474
Executive,0.99091643,1.2096989
Executive,-0.2749989,-0.024096599
Executive,1.5037862,2.077923
Executive,1.5450279,1.6885349
Executive,-0.21690428,0.13463318
Executive,0.4365791,1.1282852
Executive,-0.0799432,0.11719706
Executive,2.732675,2.8756597
Executive,-0.87931806,-0.18394499
Executive,0.16629976,0.42595002
Executive,-0.38039082,-0.27876708
Executive,0.33240938,0.6724453
Executive,0.1182606,0.6367838
Executive,-2.1403134,-0.7462059
Executive,1.0488416,1.6422505
Executive,0.040993556,0.6551655
Executive,0.23218451,0.30102983
Executive,0.4488337,0.94748664
Executive,1.5690886,1.5909785
Executive,-0.870568,-0.69650036
Executive,-0.4588889,-0.26707593
Executive,0.19577108,0.8299445
Executive,0.917585,1.257858
Executive,1.2004131,1.3123105
Executive,-0.036215056,0.022473913
Executive,-0.7802663,0.17134473
Executive,-0.56532013,-0.6080339
Executive,0.4058855,0.699942
Executive,-1.2100205,-0.6384335
Executive,-1.0822663,-0.7004087
Executive,2.0109847,2.7733023
Executive,0.4187194,0.9118281
Executive,-1.0241212,-0.9156085
Executive,1.1894299,1.3959008
Executive,0.40252236,0.64672756
Executive,2.2033148,2.6055691
Executive,-0.5737364,-0.502728
Executive,0.19504869,0.24191765
Executive,0.10436243,0.7026567
Executive,0.5048541,1.3869245
Executive,1.703712,1.853121
Executive,-1.897307,-1.0720377
Executive,0.077010505,0.76628125
Executive,0.2895243,0.6615684
Executive,-0.8278717,-0.70861334
Executive,0.24615699,0.95042384
Executive,1.9837372,2.3623636
Executive,0.21350923,0.42582685
Executive,-0.32002315,-0.08720923
Executive,-0.69645834,-0.4062714
Executive,-0.056097135,1.0638669
Executive,-1.1844528,-0.7400443
Executive,-0.48253465,-0.054263566
Executive,1.8674672,2.8065128
Executive,1.4145483,1.9559824
Executive,-0.6604414,0.48377272
Executive,-0.8893006,-0.43994632
Executive,0.5181838,0.52280617
Executive,1.2706829,1.6580582
Executive,2.09684,2.4616644
Executive,-0.8596027,-0.74476427
Executive,-2.9399366,-2.548597
Executive,-0.6592793,-0.11061042
Executive,1.897177,2.9466834
Executive,-0.22143559,0.5682066
Executive,0.06848933,-0.108017534
Executive,0.9752496,1.6521815
Executive,1.0703516,1.1132275
Executive,2.0421033,2.3548007
Executive,1.5808053,2.3359213
Executive,1.9475037,2.1487944
Executive,0.27235302,1.0594258
Executive,0.04065068,0.47264966
Executive,9.709805,10.48686
Executive,-2.1523678,-2.0371919
Executive,0.07356799,0.25090718
Executive,-1.0536462,-0.27689517
Executive,0.3923047,1.1480725
Executive,-1.7918178,-0.3217909
Executive,1.1071513,2.0439596
Executive,-1.1972824,-0.66010576
Executive,0.8173298,1.2160186
Executive,0.5459167,1.8657495
Executive,-1.1185092,-0.45804295
Executive,-0.024625601,0.61433566
Executive,1.0652767,0.9440233
Executive,-0.48383394,-0.016142337
Executive,0.13330153,1.017231
Executive,-1.3980534,-0.87919694
Executive,-0.94882005,0.16490781
Executive,-0.06877083,0.23094672
Executive,2.1646714,2.401645
Executive,0.41824627,0.6009425
Executive,-2.692982,-1.7779866
Executive,-1.0018371,0.16699204
Executive,1.2664398,2.2539496
Executive,-0.672708,0.15049428
Executive,-2.2195144,-1.3641621
Executive,4.295781,5.300051
Default,-2.9361694,-4.41281
Default,-2.644385,-2.629673
Default,-1.7537062,-2.2867146
Default,-1.7940696,-2.5335293
Default,0.39769325,-0.06508415
Default,-2.149984,-2.7610612
Default,-7.0563984,-7.244038
Default,1.3032379,0.24514002
Default,-2.025052,-1.711989
Default,-1.1648694,-1.4702193
Default,0.686216,-0.21487644
Default,-3.1820166,-4.16044
Default,1.0096532,1.5478854
Default,-1.4110062,-2.614795
Default,-1.9617442,-1.9075487
Default,-0.90353626,-2.2860305
Default,-2.0891268,-3.0331874
Default,-4.064103,-6.826116
Default,-1.7357893,-1.5808274
Default,-0.45482874,-0.43569383
Default,-2.513955,-2.6872423
